,datetime,UPPER_TWIN_LAKE_NR_BRIDGEPORT__CA.tsv
780,2015-02-21,8897.959642857144
781,2015-02-22,8904.408571428572
782,2015-02-23,8910.8575
783,2015-02-24,8917.306428571428
784,2015-02-25,8923.755357142856
785,2015-02-26,8930.204285714286
786,2015-02-27,8936.653214285714
787,2015-02-28,8943.102142857144
788,2015-03-01,8949.551071428572
789,2015-03-02,8956.0
790,2015-03-03,8956.668333333333
791,2015-03-04,8957.336666666666
792,2015-03-05,8958.005000000001
793,2015-03-06,8958.673333333334
794,2015-03-07,8959.341666666667
795,2015-03-08,8960.01
796,2015-03-09,8960.678333333333
797,2015-03-10,8961.346666666666
798,2015-03-11,8962.015
799,2015-03-12,8962.683333333332
800,2015-03-13,8963.351666666667
801,2015-03-14,8964.02
802,2015-03-15,8964.688333333334
803,2015-03-16,8965.356666666667
804,2015-03-17,8966.025
805,2015-03-18,8966.693333333333
806,2015-03-19,8967.361666666668
807,2015-03-20,8968.029999999999
808,2015-03-21,8968.698333333334
809,2015-03-22,8969.366666666667
810,2015-03-23,8970.035
811,2015-03-24,8970.703333333333
812,2015-03-25,8971.371666666668
813,2015-03-26,8972.04
814,2015-03-27,8972.708333333334
815,2015-03-28,8973.376666666667
816,2015-03-29,8974.045
817,2015-03-30,8974.713333333333
818,2015-03-31,8975.381666666666
819,2015-04-01,8976.05
820,2015-04-02,8991.097666666667
821,2015-04-03,9006.145333333334
822,2015-04-04,9021.193
823,2015-04-05,9036.240666666667
824,2015-04-06,9051.288333333334
825,2015-04-07,9066.336
826,2015-04-08,9081.383666666667
827,2015-04-09,9096.431333333334
828,2015-04-10,9111.479
829,2015-04-11,9126.526666666667
830,2015-04-12,9141.574333333334
831,2015-04-13,9156.622
832,2015-04-14,9171.669666666667
833,2015-04-15,9186.717333333334
834,2015-04-16,9201.765
835,2015-04-17,9216.812666666667
836,2015-04-18,9231.860333333334
837,2015-04-19,9246.908
838,2015-04-20,9261.955666666667
839,2015-04-21,9277.003333333334
840,2015-04-22,9292.051
841,2015-04-23,9307.098666666667
842,2015-04-24,9322.146333333334
843,2015-04-25,9337.194
844,2015-04-26,9352.241666666667
845,2015-04-27,9367.289333333334
846,2015-04-28,9382.337
847,2015-04-29,9397.384666666665
848,2015-04-30,9412.432333333334
849,2015-05-01,9427.48
850,2015-05-02,9434.921935483871
851,2015-05-03,9442.363870967742
852,2015-05-04,9449.805806451614
853,2015-05-05,9457.247741935484
854,2015-05-06,9464.689677419356
855,2015-05-07,9472.131612903226
856,2015-05-08,9479.573548387096
857,2015-05-09,9487.015483870968
858,2015-05-10,9494.45741935484
859,2015-05-11,9501.899354838708
860,2015-05-12,9509.34129032258
861,2015-05-13,9516.783225806452
862,2015-05-14,9524.225161290322
863,2015-05-15,9531.667096774194
864,2015-05-16,9539.109032258064
865,2015-05-17,9546.550967741936
866,2015-05-18,9553.992903225806
867,2015-05-19,9561.434838709678
868,2015-05-20,9568.876774193548
869,2015-05-21,9576.31870967742
870,2015-05-22,9583.760645161292
871,2015-05-23,9591.20258064516
872,2015-05-24,9598.644516129032
873,2015-05-25,9606.086451612904
874,2015-05-26,9613.528387096774
