,datetime,DIABLO_RESERVOIR_NEAR_NEWHALEM__WA.
777,2013-02-16,1201.4
778,2013-02-17,1201.48
779,2013-02-18,1201.25
780,2013-02-19,1200.88
781,2013-02-20,1202.0
782,2013-02-21,1202.18
783,2013-02-22,1200.6
784,2013-02-23,1200.2
785,2013-02-24,1200.06
786,2013-02-25,1201.41
787,2013-02-26,1201.88
788,2013-02-27,1201.58
789,2013-02-28,1201.43
790,2013-03-01,1201.38
791,2013-03-02,1202.14
792,2013-03-03,1201.95
793,2013-03-04,1200.8
794,2013-03-05,1201.05
795,2013-03-06,1200.74
796,2013-03-07,1200.6
797,2013-03-08,1200.99
798,2013-03-09,1201.6
799,2013-03-10,1201.1
800,2013-03-11,1201.14
801,2013-03-12,1200.68
802,2013-03-13,1200.64
803,2013-03-14,1200.97
804,2013-03-15,1200.94
805,2013-03-16,1201.36
806,2013-03-17,1200.78
807,2013-03-18,1200.7
808,2013-03-19,1201.08
809,2013-03-20,1200.32
810,2013-03-21,1200.08
811,2013-03-22,1200.33
812,2013-03-23,1200.69
813,2013-03-24,1200.66
814,2013-03-25,1199.82
815,2013-03-26,1199.9
816,2013-03-27,1200.34
817,2013-03-28,1200.22
818,2013-03-29,1200.07
819,2013-03-30,1201.01
820,2013-03-31,1200.81
821,2013-04-01,1200.93
822,2013-04-02,1200.54
823,2013-04-03,1200.75
824,2013-04-04,1200.45
825,2013-04-05,1200.74
826,2013-04-06,1200.86
827,2013-04-07,1200.83
828,2013-04-08,1200.39
829,2013-04-09,1200.63
830,2013-04-10,1200.16
831,2013-04-11,1201.0
832,2013-04-12,1201.99
833,2013-04-13,1200.6
834,2013-04-14,1201.34
835,2013-04-15,1201.31
836,2013-04-16,1200.78
837,2013-04-17,1201.19
838,2013-04-18,1201.02
839,2013-04-19,1200.88
840,2013-04-20,1200.46
841,2013-04-21,1200.63
842,2013-04-22,1200.96
843,2013-04-23,1200.65
844,2013-04-24,1201.08
845,2013-04-25,1200.1
846,2013-04-26,1201.16
847,2013-04-27,1201.42
848,2013-04-28,1201.08
849,2013-04-29,1200.89
850,2013-04-30,1201.3
851,2013-05-01,1200.26
852,2013-05-02,1200.64
853,2013-05-03,1201.59
854,2013-05-04,1202.23
855,2013-05-05,1201.89
856,2013-05-06,1202.49
857,2013-05-07,1202.37
858,2013-05-08,1201.68
859,2013-05-09,1201.36
860,2013-05-10,1200.29
861,2013-05-11,1200.35
862,2013-05-12,1202.12
863,2013-05-13,1201.57
864,2013-05-14,1200.46
865,2013-05-15,1200.73
866,2013-05-16,1201.43
867,2013-05-17,1201.37
868,2013-05-18,1202.32
869,2013-05-19,1201.95
870,2013-05-20,1201.15
871,2013-05-21,1202.07
872,2013-05-22,1201.61
873,2013-05-23,1201.06
874,2013-05-24,1201.26
875,2013-05-25,1201.38
876,2013-05-26,1200.65
877,2013-05-27,1201.27
878,2013-05-28,1199.89
879,2013-05-29,1199.93
880,2013-05-30,1200.65
881,2013-05-31,1202.04
882,2013-06-01,1201.6
883,2013-06-02,1201.18
884,2013-06-03,1202.48
885,2013-06-04,1202.61
886,2013-06-05,1202.52
887,2013-06-06,1202.68
888,2013-06-07,1202.04
889,2013-06-08,1200.61
890,2013-06-09,1201.62
891,2013-06-10,1202.29
892,2013-06-11,1201.14
893,2013-06-12,1200.71
894,2013-06-13,1201.01
895,2013-06-14,1201.69
896,2013-06-15,1202.79
897,2013-06-16,1201.34
898,2013-06-17,1202.45
899,2013-06-18,1200.94
900,2013-06-19,1200.66
901,2013-06-20,1201.61
902,2013-06-21,1201.71
903,2013-06-22,1200.89
904,2013-06-23,1202.08
905,2013-06-24,1200.99
906,2013-06-25,1200.35
907,2013-06-26,1200.02
908,2013-06-27,1201.37
909,2013-06-28,1200.89
910,2013-06-29,1202.01
911,2013-06-30,1201.23
912,2013-07-01,1202.39
913,2013-07-02,1201.83
914,2013-07-03,1200.99
915,2013-07-04,1200.94
916,2013-07-05,1201.53
917,2013-07-06,1201.34
918,2013-07-07,1201.96
919,2013-07-08,1201.44
920,2013-07-09,1200.95
921,2013-07-10,1200.28
922,2013-07-11,1200.63
923,2013-07-12,1201.44
924,2013-07-13,1201.51
925,2013-07-14,1200.87
926,2013-07-15,1200.86
927,2013-07-16,1200.96
928,2013-07-17,1200.5
929,2013-07-18,1201.26
930,2013-07-19,1201.5
931,2013-07-20,1201.12
932,2013-07-21,1201.16
933,2013-07-22,1201.99
934,2013-07-23,1201.5
935,2013-07-24,1200.84
936,2013-07-25,1201.34
937,2013-07-26,1201.09
938,2013-07-27,1200.86
939,2013-07-28,1200.48
940,2013-07-29,1200.2
941,2013-07-30,1201.62
942,2013-07-31,1200.95
943,2013-08-01,1200.29
944,2013-08-02,1201.15
945,2013-08-03,1201.6
946,2013-08-04,1201.37
947,2013-08-05,1201.69
948,2013-08-06,1201.73
949,2013-08-07,1202.25
950,2013-08-08,1202.34
951,2013-08-09,1200.92
952,2013-08-10,1201.75
953,2013-08-11,1201.02
954,2013-08-12,1201.33
955,2013-08-13,1200.73
956,2013-08-14,1200.66
957,2013-08-15,1201.72
958,2013-08-16,1201.27
959,2013-08-17,1200.98
960,2013-08-18,1200.56
961,2013-08-19,1200.69
962,2013-08-20,1200.77
963,2013-08-21,1201.07
964,2013-08-22,1201.3
965,2013-08-23,1201.77
966,2013-08-24,1200.89
967,2013-08-25,1200.6
968,2013-08-26,1201.57
969,2013-08-27,1201.69
970,2013-08-28,1202.89
971,2013-08-29,1202.14
972,2013-08-30,1202.52
973,2013-08-31,1202.22
974,2013-09-01,1201.61
975,2013-09-02,1201.96
976,2013-09-03,1201.33
977,2013-09-04,1200.98
978,2013-09-05,1200.27
